age,mileage,price_percent
13,18.5,0.6812180579216355
14,19.9,0.7577665827036104
14,21.0,0.7210409745293466
15,17.9,0.6246434683399886
17,20.0,0.6740422044662979
17,18.1,0.6758860889162057
17,20.0,0.5655787553213055
17,23.2,0.6648227822167588
17,25.4,0.6525302192173735
17,21.0,0.6853103872157345
17,24.0,0.5453071153456315
18,27.9,0.5422663693492804
18,28.2,0.5564565173322522
19,28.86,0.7001009081735621
19,23.0,0.8133484162895928
20,23.5,0.714759902633326
21,41.2,0.6426212852425705
21,48.6,0.6288117770767613
23,34.6,0.6161934805467929
23,25.5,0.6439056939501779
24,34.8,0.6115107913669064
24,19.015,0.6634958382877527
25,25.5,0.6973811833171678
25,21.2,0.5957413945278023
25,76.5,0.5748861730170142
26,18.0,0.6619437679876023
27,30.9,0.6803218727139722
27,38.0,0.6711590296495957
28,34.5,0.6102606537029375
28,32.9,0.6354831089062131
28,18.2,0.7637292464878672
29,49.0,0.6147975408098367
29,30.0,0.6762967826657912
29,40.0,0.6031976744186046
30,85.2,0.5720338983050848
30,65.0,0.6204600484261501
30,28.3,0.7387096774193549
30,47.9,0.5982688391038696
34,43.0,0.6096209266238085
35,33.5,0.6118272969101698
36,34.1,0.6854166666666667
37,28.8,0.6072488342518017
37,65.0,0.5484279383836252
38,33.0,0.643199410246959
39,69.6,0.5331781140861467
39,69.7,0.48842801322512774
40,28.9,0.6732312180889861
40,22.8,0.6531986531986532
40,126.9,0.3998993963782696
40,78.2,0.46311010215664017
40,69.0,0.5137998531930511
41,41.6,0.5313910545752975
41,32.555,0.5462545610646061
43,55.9,0.5610318791946308
43,76.5,0.5518072289156627
44,57.0,0.5706688484352629
44,42.25,0.5593089221248067
44,34.15,0.5882872277810477
45,97.45,0.5750246791707798
45,85.7,0.5168242797448868
45,53.55,0.5765654060756354
46,63.6,0.5783702429585036
46,54.5,0.5596290705197325
47,83.0,0.5171931786413195
48,62.337,0.5092297899427116
48,95.5,0.39326334208223973
48,75.0,0.4274902843117202
49,64.1,0.5584806318164723
49,44.9,0.6870443073471677
49,88.0,0.5161528181022167
49,104.0,0.41409691629955947
49,95.5,0.455848623853211
50,61.8,0.5542986425339367
50,66.6,0.5257861635220126
51,99.5,0.4694450708267563
51,44.6,0.49940898345153667
51,60.4,0.5607059323835849
51,84.649,0.5087296809151114
52,117.6,0.4083960757472051
52,116.968,0.38263665594855306
52,82.0,0.4751188589540412
53,64.5,0.5585177286057051
53,124.5,0.3504823151125402
53,30.6,0.5477324497825636
53,52.6,0.50364269876465
53,101.6,0.41479099678456594
53,47.0,0.5822256398989344
54,93.9,0.46095558829720057
54,118.7,0.4265223955712129
54,47.0,0.5411463336535383
54,117.9,0.41773947769428826
54,70.925,0.5244678516567918
55,95.0,0.4271788990825688
56,94.4,0.4117647058823529
57,82.0,0.5081664098613251
58,70.9,0.47234999278067696
58,54.9,0.45251955612152084
60,73.0,0.48922149000335086
62,90.9,0.4478266894544783
64,29.0,0.4826088029820534
65,109.4,0.42593539589192875
66,83.0,0.5074005140476824
67,53.4,0.4444444444444444
68,93.9,0.4138754232540011
69,87.0,0.3975
70,38.0,0.4867674858223062
71,101.0,0.40357766143106455
73,76.5,0.5171987131898045
75,93.6,0.39525065963060685
81,70.62,0.4873989538754161
81,48.9,0.46687054026503566
82,103.0,0.39284053928405394
83,59.134,0.44006534613028386
86,140.9,0.30175566934893927
87,90.8,0.33170480843404476
88,53.661,0.42548963951177976
89,122.0,0.3133841131664853
89,133.29,0.3116445567487892
90,93.0,0.2987012987012987
91,113.0,0.33894172153133384
